2026-01-15 13:00:59 | INFO     | copybot | ❌ FAILED: BUY $2.00 (12ms)
2026-01-15 13:00:59 | INFO     | copybot | Processing: BUY Ethereum Up or Down - January 15, 5AM ET
2026-01-15 13:00:59 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:00:59 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:00:59 | INFO     | copybot | ❌ FAILED: BUY $2.00 (11ms)
2026-01-15 13:00:59 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
2026-01-15 13:00:59 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:00:59 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:00:59 | INFO     | copybot | ❌ FAILED: BUY $2.00 (12ms)
2026-01-15 13:00:59 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
2026-01-15 13:00:59 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:00:59 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:00:59 | INFO     | copybot | ❌ FAILED: BUY $2.00 (22ms)
2026-01-15 13:00:59 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5AM ET
2026-01-15 13:00:59 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:01:00 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:01:00 | INFO     | copybot | ❌ FAILED: BUY $2.00 (12ms)
2026-01-15 13:01:00 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
2026-01-15 13:01:00 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:01:00 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:01:00 | INFO     | copybot | ❌ FAILED: BUY $2.00 (12ms)
2026-01-15 13:01:00 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
2026-01-15 13:01:00 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:01:00 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:01:00 | INFO     | copybot | ❌ FAILED: BUY $2.00 (12ms)
2026-01-15 13:01:00 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
2026-01-15 13:01:00 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:01:00 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:01:00 | INFO     | copybot | ❌ FAILED: BUY $2.00 (12ms)
2026-01-15 13:01:00 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
2026-01-15 13:01:00 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:01:00 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:01:00 | INFO     | copybot | ❌ FAILED: BUY $2.00 (12ms)
2026-01-15 13:01:00 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
2026-01-15 13:01:00 | INFO     | copybot | 💰 using fixed amount: $2.00
2026-01-15 13:01:00 | WARNING  | copybot | Risk rejected: Insufficient balance (need $12.00)
2026-01-15 13:01:00 | INFO     | copybot | ❌ FAILED: BUY $2.00 (11ms)
2026-01-15 13:01:00 | INFO     | copybot | Processing: BUY Bitcoin Up or Down - January 15, 5:00AM-5:15AM ET
